! BERRIES BROCCOLI,"strawberries frozen, blackberries frozen, almorcoc, broccoli frozen, orange juice, raspberries frozen"
CREAMY ZUCCHINI BLUEBERRY SMOOTHIE,"bananas, celery, zucchini, spinach, hemp seeds, cinnamon ground, coconut milk can, maca powder, blueberries frozen"
DIVINE VIBRATION BLEND,"coconut water, grapefruit, carrots, lemon, sage fresh, aloe, lavender"
EPIC5 RECOVERY BLEND ,"kale, beets, apple, acai frozen, maca powder, pumpkin seeds, hemp seeds, goji berries, coconut water, blueberries frozen"
FALL HARVEST SMOOTHIE,"apple, orange, lime, ginger root, spinach, almorcoc"
GOJI APPLE MORNING SMOOTHIE,"spinach, apple, bananas, goji berries"
GREEN EXTREME BLEND,"avocado, olives kalamata, jalapeno, lemon, cilantro, basil fresh, pumpkin seeds, hemp seeds, celery, seaweed dried, kale"
GUAVA PAPAYA SMOOTHIE,"papaya, guava, parsley fresh, lemon, ginger root"
IT IS EASY BEING GREEN,"spinach, peas snow, pineapple frozen, lemon"
KALE PINEAPPLE AND ALMOND MILK SMOOTHIE,"almorcoc, kale, pineapple frozen, bananas"
KETO AVOCADO SMOOTHIE,"avocado, coconut milk can, almorcoc, ginger root, turmeric ground, lime"
MATCHA KALE & PEACH SMOOTHIE,"almorcoc, matcha powder, kale, peaches, ginger root, bananas"
MODIFIED KALE-ADA ,"coconut milk can, coconut shredded, pineapple frozen, blueberries frozen, bananas, spinach"
MY FAVORITE BREAKFAST SMOOTHIE,"carrot juice, orange, lime, pears, spinach, bananas, strawberries frozen, blueberries frozen"
ORANGE BEET SMOOTHIE,"chard swiss, beets, orange, ginger root, lemon, goji berries"
PALEO GREEN SMOOTHIE,"almorcoc, bananas, spinach, avocado, coconut water"
PALEO MOCHA LATTE,"coffee ground, coconut milk can, vanilla powder"
PALEO PEACH COCONUT SMOOTHIE,"coconut milk can, peaches, lemon"
PEANUT BUTTER BLUEBERRY,"bananas, blueberries frozen, peanut butter, almorcoc"
PEPPER PARSLEY ZEST,"tomatoes grape, lemon, parsley fresh, hemp seeds, salt pink himalayan sea, bell pepper yellow"
PUMPKIN COCONUT SMOOTHIE,"almorcoc, pumpkin puree, pumpkin pie spice, bananas"
PUMPKIN PIE GREEN SMOOTHIE,"bananas, pumpkin puree, spinach frozen, almond milk, coconut milk box, pumpkin pie spice"
RASPBERRY BASIL SMOOTHIE,"tomatoes grape, raspberries, pineapple, basil fresh, goji berries, walnuts"
RAW FOOD GREEN KALE SMOOTHIE,"bananas, orange juice, kale, parsley fresh, cilantro, mint"
SUPER GREEN not-SPIRULINA SMOOTHIE ,"bananas, cucumber, spinach frozen, chia seeds, almorcoc, blueberries frozen"
SUPERFOOD CHOCOLATE ALMOND AVOCADO SMOOTHIE ,"cacao nibs, bananas, avocado, cauliflower, almond butter, dates, cinnamon ground, maca powder, almorcoc"
TRIPLE B BLEND,"apple juice, kale, pepitas, ginger root, basil fresh, lemon, bananas, beets, blueberries frozen"
ULTRA QUEEN K PERFORMANCE BLEND,"pineapple frozen, kale, maca powder, chia seeds, hemp seeds, coconut frozen, coconut oil, dates"
WHITE PEPPERMINT SMOOTHIE,"bananas, coconut milk can, mint, coconut oil, coconut butter"
